Instruction,Word,song,valence,arousal,affectcat,songmark,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,14.718549186000018,,,,,,,,,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
,,,,,,,,,,,,,,,,,,,,,4,8.283701932999975,,,,,,,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
,,,,,,,,,,,,,,,,,,,,,,,4,2.7518615879998833,,,,,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
,,,,,,,,,,,,,,,,,,,,,,,,,4,2.701185722002265,,,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SCARED,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,1,2.767927018998307,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,HAPPY,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,4,3.0523807989993657,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,TENDER,,,,,,0,2,2,10,,,,,,,,,,,,,,,,,3,3.6515092690024176,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANGRY,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,1,1.4507221660023788,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,FRUSTRATED,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,1,1.603135270997882,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANXIOUS ,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,1,1.4183683669980383,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ALERT,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,3,3.0669881419999,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ASHAMED,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,1,1.534887281999545,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,GUILTY,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,1,1.4350869179979782,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,EXCITED,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,4,2.552244280002924,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ACTIVE,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,4,5.4506256749991735,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SAD,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,1,2.418670420000126,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,0,0,7,,,5,3.0028546249995998,5,2.019006591002835,5,1.1514545980026014,5,1.7340890779996698,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,1,1,1,,,,,,,,,1,1.2185907530001714,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,2,2,5,,,,,,,,,1,1.0012255670008017,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,3,3,10,,,,,,,,,2,2.718670671001746,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,4,4,11,,,,,,,,,1,1.050042721999489,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,5,5,6,,,,,,,,,5,1.5524294559982081,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,6,6,9,,,,,,,,,5,2.7502908520000346,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,7,7,4,,,,,,,,,1,1.0181052130028547,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,8,8,2,,,,,,,,,1,1.1356987910003227,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,9,9,8,,,,,,,,,3,1.9678896890000033,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,10,10,3,,,,,,,,,1,1.2677690390009957,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,0,11,11,0,,,,,,,,,1,1.2687784539994027,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
,,30MonoWAV/30MonoH4.wav,2,2,1,8,,,,,0,0,0,7,,,,,,,,,,,,,,,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,0,0,3,,,3,3.651341851997131,3,4.301499373999832,5,2.8350055139999313,1,1.8203772550004942,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,1,1,2,,,,,,,,,1,0.8349696879995463,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,2,2,10,,,,,,,,,4,1.8186650060015381,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,3,3,9,,,,,,,,,2,3.6183852139984083,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,4,4,6,,,,,,,,,2,1.4849506339996879,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,5,5,0,,,,,,,,,5,2.0519881440013705,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,6,6,7,,,,,,,,,3,2.65160823000042,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,7,7,5,,,,,,,,,1,1.216338967999036,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,8,8,11,,,,,,,,,1,0.8513626259991725,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,9,9,4,,,,,,,,,1,0.968273662001593,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,10,10,1,,,,,,,,,2,1.6686163379999925,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,0,11,11,8,,,,,,,,,4,2.3520995629987738,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
,,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,1,1,15,,,,,,,,,,,,,,,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,0,0,11,,,1,3.105343119997997,2,3.8398724979997496,4,2.487832224000158,1,1.8202328789993771,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,1,1,7,,,,,,,,,1,0.8530028339991986,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,2,2,4,,,,,,,,,1,1.1868316770014644,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,3,3,8,,,,,,,,,1,1.8733907159985392,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,4,4,9,,,,,,,,,1,1.3671851440012688,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,5,5,6,,,,,,,,,2,1.7678798729975824,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,6,6,10,,,,,,,,,4,1.5831194979982683,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,7,7,0,,,,,,,,,5,2.40179011500004,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,8,8,1,,,,,,,,,3,2.167870960998698,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,9,9,2,,,,,,,,,1,1.7684571399986453,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,10,10,3,,,,,,,,,1,1.2348238800004765,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,0,11,11,5,,,,,,,,,1,0.8019167849997757,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
,,30MonoWAV/30MonoS2.wav,1,1,3,10,,,,,0,2,2,9,,,,,,,,,,,,,,,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoT1.wav,2,1,4,13,,,,,0,3,3,12,0,0,0,11,,,2,3.034645178999199,4,1.8514263260003645,4,2.0843438310002966,1,1.6021506270008103,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoT1.wav,2,1,4,13,,,,,0,3,3,12,0,1,1,0,,,,,,,,,2,1.3013647199986735,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoT1.wav,2,1,4,13,,,,,0,3,3,12,0,2,2,4,,,,,,,,,1,1.1190436420001788,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoT1.wav,2,1,4,13,,,,,0,3,3,12,0,3,3,9,,,,,,,,,2,3.0021187210004427,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoT1.wav,2,1,4,13,,,,,0,3,3,12,0,4,4,6,,,,,,,,,3,1.433687237000413,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoT1.wav,2,1,4,13,,,,,0,3,3,12,0,5,5,1,,,,,,,,,2,1.751592692999111,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoT1.wav,2,1,4,13,,,,,0,3,3,12,0,6,6,5,,,,,,,,,1,0.9188412200019229,,,014,001,2019_May_09_1306,MusicAffectPsychophysiology2019,3.0.5,60.229866684544305,
