Instruction,Word,song,valence,arousal,affectcat,songmark,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,17.385823401011294,,,,,,,,,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
,,,,,,,,,,,,,,,,,,,,,3,10.71849290598766,,,,,,,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
,,,,,,,,,,,,,,,,,,,,,,,4,3.2859494680014905,,,,,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
,,,,,,,,,,,,,,,,,,,,,,,,,4,5.449367387016537,,,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,EXCITED,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,3,8.170007617009105,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,TENDER,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,2,8.016225298983045,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,SAD,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,1,1.9191014399984851,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ANXIOUS ,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,1,1.4691423269978259,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,GUILTY,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,1,0.8853955020022113,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,FRUSTRATED,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,1,1.8081830340088345,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ALERT,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,1,2.3684794009895995,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ASHAMED,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,1,3.0869433030020446,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,SCARED,,,,,,0,8,8,11,,,,,,,,,,,,,,,,,1,0.8029844480042811,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ACTIVE,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,3,2.6533007480029482,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,HAPPY,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,4,1.4858492719940841,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ANGRY,,,,,,0,11,11,2,,,,,,,,,,,,,,,,,1,1.5183255279844161,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,0,0,9,,,2,6.068719624017831,2,7.168817188998219,2,6.450471940013813,1,2.7024634910048917,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,1,1,2,,,,,,,,,1,2.616902839014074,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,2,2,10,,,,,,,,,2,4.051372553978581,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,3,3,1,,,,,,,,,2,1.3165669959853403,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,4,4,3,,,,,,,,,1,1.418424039002275,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,5,5,6,,,,,,,,,1,2.4180323370092083,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,6,6,7,,,,,,,,,1,1.2191033010021783,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,7,7,8,,,,,,,,,1,1.2522243129787967,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,8,8,5,,,,,,,,,1,0.7854335489973892,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,9,9,11,,,,,,,,,1,0.817320647998713,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,10,10,4,,,,,,,,,1,0.6357558140007313,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,0,11,11,0,,,,,,,,,3,3.1505625149875414,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
,,30MonoWAV/30MonoT3.wav,2,1,4,15,,,,,0,0,0,14,,,,,,,,,,,,,,,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,0,0,6,,,3,6.735506538010668,3,2.3336025099852122,2,5.169340071006445,2,1.8238300480006728,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,1,1,9,,,,,,,,,4,3.0675329540099483,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,2,2,11,,,,,,,,,1,1.6544251379964408,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,3,3,7,,,,,,,,,3,1.8692162109946366,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,4,4,1,,,,,,,,,1,1.1192129559931345,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,5,5,5,,,,,,,,,1,1.168482937006047,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,6,6,2,,,,,,,,,1,0.6534494970110245,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,7,7,10,,,,,,,,,1,0.6023294070037082,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,8,8,4,,,,,,,,,1,0.8700497389945667,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,9,9,0,,,,,,,,,1,1.7024161260051187,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,10,10,8,,,,,,,,,1,0.703227114980109,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,0,11,11,3,,,,,,,,,1,0.6392632749921177,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
,,30MonoWAV/30MonoT2.wav,2,1,4,14,,,,,0,1,1,13,,,,,,,,,,,,,,,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoS1.wav,1,1,3,9,,,,,0,2,2,8,0,0,0,11,,,1,8.268312368978513,2,2.9362386429856997,2,3.152640746993711,1,1.7495794419955928,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoS1.wav,1,1,3,9,,,,,0,2,2,8,0,1,1,0,,,,,,,,,3,4.418538864003494,,,083,001,2019_Aug_28_1010,MusicAffectPsychophysiology2019,3.0.5,59.664186214871165,
